2026-05-29 14:49:45,238 | INFO     | company-ai.ai | pid=30992 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-05-29 14:49:45,915 | INFO     | company-ai.ai | pid=30992 | KB retrieve | depts='security,legal,operations' results=8 latency_ms=1335 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-05-29 14:50:22,969 | INFO     | company-ai.ai | pid=30992 | KB retrieve | depts='security,legal,operations' results=8 latency_ms=283 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-08 06:52:11,202 | INFO     | company-ai.ai | pid=66720 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-08 06:52:35,643 | INFO     | company-ai.ai | pid=66720 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=891 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-08 11:47:15,993 | INFO     | company-ai.ai | pid=66720 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=476 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-08 12:04:57,604 | INFO     | company-ai.ai | pid=66720 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=422 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-08 12:07:38,343 | INFO     | company-ai.ai | pid=66720 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=373 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-08 12:08:27,610 | INFO     | company-ai.ai | pid=66720 | KB retrieve | depts='legal' meta_filters='(none)' results=6 latency_ms=559 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 05:13:50,318 | INFO     | company-ai.ai | pid=69411 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-09 05:14:31,169 | INFO     | company-ai.ai | pid=69411 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=641 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 05:14:54,012 | INFO     | company-ai.ai | pid=69411 | KB retrieve | depts='finance,hr,it' meta_filters='(none)' results=10 latency_ms=511 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 05:16:12,659 | INFO     | company-ai.ai | pid=69411 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=394 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 05:17:05,828 | INFO     | company-ai.ai | pid=69411 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=548 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 05:18:19,078 | INFO     | company-ai.ai | pid=69411 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=274 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 05:19:26,237 | INFO     | company-ai.ai | pid=69721 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-09 05:19:56,828 | INFO     | company-ai.ai | pid=69721 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=914 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 08:31:16,628 | INFO     | company-ai.ai | pid=77041 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-09 08:31:56,849 | INFO     | company-ai.ai | pid=77041 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=538 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 08:33:15,875 | INFO     | company-ai.ai | pid=77041 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=322 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 08:38:30,768 | INFO     | company-ai.ai | pid=77041 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=296 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 10:18:24,776 | INFO     | company-ai.ai | pid=78202 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-09 10:18:58,645 | INFO     | company-ai.ai | pid=78202 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=374 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 10:25:06,947 | INFO     | company-ai.ai | pid=78202 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=287 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-09 10:55:28,611 | INFO     | company-ai.ai | pid=397 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
